Year,VanIcevMpg,VanHevMpg,VanBevMpkwh,BusIcevMpg,BusHevMpg,BusBevMpkwh,RailIcevMpg,RailHevMpg,RailEvMpkwh
1990,5.5,NA,NA,3.71,NA,0.608,1.6,1.6,0.0959
1995,5.5,NA,NA,3.75,NA,0.608,1.6,1.6,0.1006
2000,7.5,NA,NA,3.75,NA,0.608,1.6,1.6,0.1114
2005,7.5,NA,NA,3.74,NA,0.608,1.6,1.6,0.1209
2010,8.5,11.3,0.96,3.93,5.9,0.608,1.6,1.6,0.1392
2015,8.5,11.3,0.96,4.23,5.9,0.6092,1.6,1.6,0.1523
2020,9.6,12.8,1.02,4.5525,6.5,0.6272,1.7,1.7,0.1568
2025,9.6,12.8,1.02,4.9125,6.5,0.664,1.7,1.7,0.166
2030,10.8,14.3,1.08,5.2875,7.5,0.704,1.9,1.9,0.176
2035,10.8,14.3,1.08,5.55,7.5,0.744,1.9,1.9,0.186
2040,10.8,14.3,1.14,5.625,7.5,0.784,1.9,1.9,0.196
2045,10.8,14.3,1.14,5.625,7.5,0.824,1.9,1.9,0.206
2050,10.8,14.3,1.2,5.625,7.5,0.864,1.9,1.9,0.216
